Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Medium,IT,1,1,9.722,2.327,1,0,0,0,1,0,0,0,1
Low,Retail,1,1,67.536,6.264,0,0,0,1,1,1,1,1,1
Medium,Retail,1,1,11.139,4.674,1,0,0,0,0,0,1,1,1
High,Healthcare,1,1,10.198,4.982,0,0,0,0,0,1,0,1,1
High,Retail,0,1,11.763,466.925,0,0,1,0,1,1,0,1,1
Medium,Retail,1,0,11.666,1.739,0,1,0,1,1,0,0,1,1
High,Healthcare,0,1,5.041,22.027,1,0,0,0,1,1,1,1,1
Low,Education,0,1,57.803,32.346,1,1,0,1,1,0,0,1,1
Low,Retail,1,1,5.992,496.545,1,0,0,1,0,0,0,1,1
Low,Retail,1,1,6.112,19.293,0,0,0,0,0,1,1,1,1
Medium,Retail,0,1,864.69,3.736,0,1,0,0,1,1,0,1,1
Medium,IT,1,0,6.866,3.735,1,0,1,0,1,1,0,1,1
Low,IT,1,1,12.145,5.189,1,1,0,0,0,1,0,0,1
Low,IT,1,1,11.809,5.012,0,0,0,1,1,1,0,0,1
High,Healthcare,1,1,7.987,24.846,0,1,1,0,0,1,1,1,1
Medium,Education,1,1,1.191,6.17,1,0,1,0,1,1,1,1,1
High,Education,0,1,10.976,2.255,0,0,1,0,0,1,1,1,1
Medium,Education,0,1,7.098,5.638,1,0,1,0,0,1,0,0,1
Medium,Education,1,0,3.981,31.747,1,0,1,0,0,1,0,0,1
High,Education,1,1,7.564,4.245,0,0,1,0,0,1,0,1,1
High,Healthcare,1,1,6.71,4.338,0,1,1,0,0,1,0,1,1
Medium,Healthcare,1,1,841.301,42.965,1,0,1,0,0,1,0,1,1
Low,Retail,1,1,8.178,50.117,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,8.126,4.587,0,0,0,1,1,1,1,1,1
Medium,Retail,1,1,9.047,5.175,1,1,0,1,1,1,1,0,1
Medium,Education,0,1,55.749,4.696,1,1,1,1,0,1,0,1,1
Medium,Healthcare,0,0,8.822,21.033,1,0,0,1,1,1,1,1,1
Low,Healthcare,0,1,7.12,4.404,1,0,1,0,0,1,0,1,1
Medium,IT,0,1,8.399,31.541,1,1,0,0,1,1,1,1,1
Medium,Education,1,1,991.481,2.336,0,0,0,0,0,1,0,1,1
High,Healthcare,1,1,5.551,35.652,1,0,1,1,0,1,0,1,1
High,IT,1,1,7.437,42.748,1,0,0,1,1,0,1,1,1
Medium,Healthcare,0,1,7.762,4.374,0,0,1,0,0,1,0,0,1
Medium,Healthcare,1,1,69.714,5.584,0,0,0,0,0,1,1,1,1
Low,IT,1,1,9.799,5.96,1,0,1,0,0,1,0,1,1
Medium,Retail,0,1,6.559,4.504,0,0,1,0,0,0,0,1,1
Low,Healthcare,0,0,6.889,4.775,1,0,0,0,1,1,0,1,1
High,Education,0,1,6.58,4.142,1,0,0,0,1,0,1,1,1
Medium,Education,0,0,10.184,51.508,1,0,0,1,0,0,0,0,1
Medium,Education,1,1,70.151,4.73,1,0,1,1,0,1,1,1,1
Medium,Retail,1,1,8.92,3.918,1,0,0,0,1,0,0,1,1
Low,IT,1,0,1.195,7.227,1,0,0,0,0,1,0,1,1
Medium,IT,1,0,7.85,3.18,1,0,1,1,1,1,0,1,1
High,IT,0,0,10.224,6.181,1,0,1,1,0,0,0,0,1
Medium,Healthcare,0,1,11.342,1.968,1,0,1,1,1,1,1,1,1
Medium,Retail,1,0,10.054,5.22,0,1,1,0,1,1,0,0,1
Medium,Healthcare,1,1,7.966,6.154,1,0,0,0,0,1,0,1,1
Medium,Healthcare,1,0,9.284,11.391,0,1,0,1,0,1,0,0,1
Medium,Retail,1,1,5.425,4.208,1,0,1,1,0,0,0,1,1
Low,Healthcare,1,1,6.439,5.073,0,0,0,0,0,1,0,1,1
Medium,Healthcare,0,1,6.79,4.377,1,0,0,1,1,1,0,0,1
High,Education,0,0,12.481,4.567,1,1,0,0,1,1,0,0,1
High,Education,1,1,6.374,4.204,1,0,0,0,1,1,0,0,1
Low,Education,1,1,6.345,2.358,1,0,1,0,1,1,0,0,1
Low,IT,1,1,59.121,7.552,1,0,0,0,1,0,0,1,1
High,Education,0,1,9.119,3.244,0,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,8.285,46.512,0,0,1,0,1,0,0,0,1
High,Healthcare,1,1,1.017,30.297,0,0,1,1,1,1,0,1,1
Medium,Healthcare,0,1,9.342,5.862,0,0,0,1,0,1,0,1,1
Medium,IT,1,1,5.239,26.132,1,1,0,0,0,1,0,1,1
Medium,Healthcare,1,1,6.385,1.828,0,0,1,1,1,1,1,1,1
Low,Retail,1,0,10.73,5.637,1,0,1,0,1,0,0,1,1
Medium,Retail,1,0,75.934,30.896,1,1,0,1,0,0,0,0,1
Low,IT,1,0,10.375,32.288,1,0,0,0,1,0,0,0,1
Medium,Education,0,1,7.7,24.035,0,0,0,1,0,0,0,1,1
High,IT,1,1,6.064,4.141,0,0,0,0,0,0,0,1,1
Medium,Retail,1,1,7.393,2.925,0,0,1,0,1,1,0,1,1
Low,Healthcare,1,0,6.063,5.488,1,0,0,0,1,0,1,1,1
High,Education,0,1,6.868,4.453,0,0,0,0,1,1,0,1,1
Low,IT,1,1,8.401,3.142,1,0,0,0,1,1,0,1,1
Medium,IT,1,1,902.321,5.275,1,1,1,0,0,0,0,1,1
High,Healthcare,0,1,4.819,4.011,0,1,1,0,1,1,0,0,1
Medium,Healthcare,0,1,7.965,4.032,0,1,0,0,0,0,1,1,1
High,Healthcare,1,1,6.826,18.06,1,1,0,0,1,1,0,1,1
Medium,Education,1,1,6.703,3.893,0,1,1,0,0,1,0,1,1
Medium,Retail,0,1,8.265,4.482,1,0,0,1,1,0,0,0,1
High,Retail,0,1,68.99,6.0,1,0,1,0,0,0,0,1,1
Medium,Education,1,1,10.764,2.872,0,0,1,0,1,1,0,1,1
Medium,Education,0,1,1.037,7.417,1,0,0,0,0,0,0,1,1
Medium,IT,0,1,1.036,4.835,0,0,0,0,0,1,0,0,1
Medium,Healthcare,1,0,7.01,17.208,0,0,0,0,0,1,0,1,1
Medium,Retail,1,1,6.075,27.322,1,1,1,0,0,1,0,0,1
Low,Retail,0,1,816.405,6.131,0,0,1,0,0,0,0,1,1
Medium,IT,1,1,76.993,5.864,0,0,1,1,0,0,0,1,1
Medium,Education,1,1,6.782,4.027,1,0,0,0,0,1,0,1,1
Low,Healthcare,0,1,5.648,4.224,0,0,0,0,0,0,1,1,1
Low,Retail,1,1,7.916,22.53,0,0,1,1,1,1,0,1,1
Medium,Retail,0,1,7.191,5.982,1,1,0,1,1,0,1,0,1
Medium,Retail,1,1,937.669,25.183,0,1,1,1,0,1,0,1,1
Low,Retail,0,1,9.33,52.671,1,0,1,0,0,0,0,0,1
Medium,Retail,1,1,10.201,6.028,0,1,1,1,1,1,0,1,1
Medium,Healthcare,0,1,5.481,4.072,1,0,0,0,0,1,0,1,1
High,Retail,1,0,8.802,54.514,0,0,1,1,0,1,0,0,1
Medium,Education,1,1,6.545,6.771,1,0,1,0,0,1,0,1,1
High,Education,0,1,555.917,4.401,0,1,1,0,0,0,0,1,1
Medium,Healthcare,0,1,714.279,37.37,1,0,0,0,0,1,0,0,1
Low,Healthcare,1,1,10.137,38.997,1,0,0,0,1,1,0,1,1
Medium,IT,1,1,7.255,28.855,0,0,1,1,0,1,0,1,1
Medium,Retail,0,0,11.13,285.162,0,0,0,0,0,0,1,1,1
Medium,Education,1,1,9.097,4.663,0,0,1,0,1,1,0,1,1
Medium,Education,0,1,7.211,3.754,1,1,0,0,1,1,0,1,1
Medium,Education,1,0,10.32,4.491,1,0,1,0,0,0,0,0,1
Medium,Education,0,0,8.89,1.765,1,1,0,0,1,0,1,0,1
High,Education,1,1,6.134,386.107,1,1,1,0,1,0,0,0,1
Medium,IT,1,1,1.171,5.545,0,0,0,1,0,1,1,1,1
Medium,IT,1,1,8.518,23.216,0,0,1,0,1,0,0,1,1
High,Retail,0,1,8.037,4.024,1,0,0,1,0,0,0,1,1
High,Retail,1,1,6.288,12.18,0,0,0,0,1,1,0,0,1
Medium,Healthcare,0,1,10.359,2.041,0,0,1,0,1,0,0,1,1
High,Healthcare,1,1,9.034,5.211,1,0,0,0,1,1,1,1,1
Medium,Healthcare,1,1,9.258,35.36,0,1,1,1,0,0,0,0,1
Medium,Education,0,1,6.984,6.733,0,0,0,0,0,0,0,1,1
High,Healthcare,1,1,9.668,4.648,1,0,0,0,1,1,0,1,1
Low,IT,1,1,9.823,4.795,0,0,0,1,1,0,0,1,1
Medium,Healthcare,1,1,6.662,2.385,0,1,0,1,0,1,1,0,1
Medium,Education,1,0,5.166,34.223,1,0,0,0,0,1,0,1,1
High,IT,0,0,9.162,2.901,1,0,0,0,0,0,1,1,1
Low,IT,0,1,48.533,24.018,0,0,0,0,1,1,0,0,1
Medium,Retail,1,1,8.304,4.995,0,0,0,0,1,0,1,1,1
Medium,Retail,1,0,7.105,5.296,1,1,1,1,0,1,0,1,1
Low,Healthcare,1,1,10.437,4.598,0,0,1,1,0,0,0,0,1
High,Healthcare,0,1,7.214,27.578,0,0,0,0,1,1,0,1,1
Medium,Healthcare,0,1,10.214,4.496,0,1,1,1,0,1,0,1,1
Medium,Healthcare,1,1,6.971,11.309,0,0,0,0,1,1,1,0,1
Medium,IT,1,1,9.999,598.451,1,1,0,0,0,1,0,0,1
Medium,Healthcare,0,1,12.12,2.052,1,1,1,0,0,1,0,0,1
High,Retail,1,1,586.39,23.193,0,1,0,0,0,1,0,1,1
High,Retail,1,1,8.584,4.172,1,1,0,0,1,1,0,0,1
Medium,Education,0,0,1.349,4.306,1,0,0,1,0,1,0,1,1
Medium,Retail,0,1,8.133,3.89,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,8.123,2.334,0,0,0,0,1,1,0,0,1
Medium,Healthcare,1,0,9.576,5.7,1,0,0,0,1,1,0,1,1
High,IT,0,1,8.082,14.71,0,0,0,0,1,1,0,1,1
High,Healthcare,0,1,4.585,17.75,1,1,0,0,1,1,0,1,1
Low,IT,1,0,10.264,3.839,1,0,1,0,0,0,0,0,1
Low,IT,0,0,39.941,21.036,0,0,1,0,0,0,0,1,1
High,Education,0,1,7.166,5.833,0,0,0,0,1,1,0,1,1
Medium,Education,1,1,10.414,22.326,0,1,0,0,1,0,0,1,1
Medium,IT,1,1,7.286,6.335,0,0,0,0,1,0,0,1,1
Medium,Healthcare,1,0,6.612,555.268,0,0,1,1,0,1,0,0,1
Medium,Education,0,1,975.852,5.852,1,0,0,1,1,1,1,0,1
Medium,IT,1,1,6.297,6.83,0,0,1,1,0,1,0,1,1
Medium,Healthcare,0,1,5.555,4.121,1,1,0,0,1,0,0,1,1
Medium,Retail,1,1,8.549,24.805,0,1,0,0,0,0,0,1,1
Medium,Education,1,1,7.634,38.454,1,0,1,1,1,1,1,0,1
High,Education,1,1,55.126,3.15,1,0,0,0,0,0,0,1,1
High,Retail,1,0,927.39,29.362,1,1,1,0,0,1,0,0,1
Medium,Education,1,1,8.928,4.226,0,0,1,0,0,1,0,1,1
Medium,IT,1,1,7.28,35.324,0,0,0,1,1,0,0,1,1
Low,Education,0,1,7.417,2.871,0,0,0,0,0,1,0,1,1
Low,Education,1,1,8.94,36.318,0,0,0,1,0,0,0,1,1
Low,Healthcare,0,0,10.38,4.823,1,1,1,0,1,0,1,0,1
Low,IT,0,1,743.441,5.434,1,0,1,0,1,1,0,1,1
High,IT,1,1,930.937,15.956,1,1,1,1,1,1,0,1,1
High,IT,1,1,9.13,3.545,1,0,0,0,0,1,0,0,1
Low,Education,1,0,9.758,37.879,1,0,0,0,0,0,0,0,1
Low,Education,1,1,8.078,2.226,1,0,1,0,0,0,0,0,1
High,Retail,1,1,6.175,38.204,0,1,1,0,1,0,1,1,1
Medium,Healthcare,1,1,7.075,4.221,0,0,0,0,0,1,1,1,1
Medium,Retail,1,1,8.685,4.778,1,0,1,0,1,1,0,1,1
High,Retail,1,1,11.636,4.115,1,0,1,1,1,0,0,1,1
Medium,IT,0,1,7.031,26.785,0,0,1,0,1,0,0,1,1
Medium,Education,1,1,9.609,701.804,1,0,0,1,1,1,0,0,1
Medium,IT,0,1,734.388,5.243,0,1,0,1,1,1,0,0,1
Medium,Education,0,1,8.22,48.29,0,0,0,1,0,1,0,1,1
Medium,Education,1,1,11.03,5.507,0,1,1,1,1,1,0,1,1
Medium,Healthcare,0,1,9.528,4.366,1,0,0,0,1,1,1,0,1
Medium,IT,1,1,5.517,5.929,0,0,0,0,0,1,0,1,1
Low,IT,1,1,68.55,4.085,1,0,1,0,1,1,0,1,1
Medium,Education,1,1,10.512,4.002,0,1,1,0,1,1,0,1,1
Medium,Education,1,1,8.283,49.528,1,1,0,0,0,1,0,1,1
Medium,Retail,0,1,57.023,6.364,0,0,0,1,1,0,0,1,1
Low,Retail,1,1,6.362,62.68,0,1,1,0,0,1,0,0,1
High,Retail,1,0,9.406,4.889,0,0,1,1,0,1,0,1,1
Medium,Education,1,1,998.882,4.774,0,0,1,0,0,1,0,0,1
High,Healthcare,1,1,8.035,50.44,0,0,0,0,0,0,0,0,1
High,IT,1,0,12.95,5.478,1,0,0,1,1,1,0,1,1
Medium,Healthcare,0,1,9.648,5.948,0,0,1,0,1,0,1,0,1
Medium,IT,1,1,7.513,36.451,1,0,1,1,1,0,0,0,1
High,Retail,1,0,6.368,5.977,1,0,0,0,1,0,0,1,1
Medium,Healthcare,1,1,6.05,4.514,1,0,1,1,0,1,0,1,1
High,Healthcare,0,1,8.67,4.976,1,0,1,0,0,0,1,1,1
Medium,Retail,1,0,7.022,6.072,1,1,0,1,0,0,1,0,1
Medium,Retail,1,1,1.134,5.12,1,0,1,0,0,1,0,1,1
High,Healthcare,1,1,10.932,5.373,0,0,0,1,1,1,0,1,1
Low,Education,1,1,9.266,3.415,1,1,0,1,1,1,0,1,1
Medium,IT,0,0,5.642,6.247,0,1,0,1,1,0,1,1,1
Low,IT,0,1,665.556,5.043,0,1,0,0,0,1,0,1,1
Medium,Healthcare,1,1,10.511,4.189,0,0,0,1,1,1,1,1,1
Medium,Healthcare,0,1,6.873,5.651,1,0,1,1,0,1,1,1,1
Medium,IT,1,1,10.244,7.881,1,0,1,0,1,0,0,0,1
High,Retail,1,1,8.949,2.246,1,0,0,0,0,1,0,1,1
Low,Healthcare,1,0,8.103,27.944,0,0,0,0,1,1,1,0,1
High,Retail,1,1,6.594,8.027,0,0,0,0,1,1,0,1,1
Low,IT,1,1,7.811,4.64,0,0,0,1,1,0,0,0,1
Low,Education,1,1,8.379,4.286,1,1,1,1,0,1,0,1,1
High,IT,0,1,10.065,38.269,0,0,0,0,0,1,1,0,1
Low,Retail,1,1,6.228,581.265,1,1,0,0,0,0,0,1,1
Low,Retail,1,1,747.436,791.687,1,1,1,0,0,0,0,0,1
Medium,IT,1,1,808.964,3.002,1,1,1,0,1,0,0,1,1
Medium,Healthcare,1,0,932.535,3.854,1,0,0,0,0,0,0,1,1
Medium,Retail,1,1,61.83,3.473,0,0,0,0,0,1,1,1,1
Low,Education,1,1,536.686,5.099,1,0,1,1,1,0,0,1,1
Medium,Healthcare,1,1,93.479,58.335,1,0,1,0,1,1,0,0,1
Medium,Retail,1,1,4.964,6.431,1,1,1,1,0,1,0,1,1
Medium,Retail,0,1,10.569,5.15,1,0,0,1,0,0,0,0,1
High,Retail,1,1,7.688,7.778,1,1,1,0,0,1,0,1,1
Medium,IT,1,1,4.904,31.378,0,1,1,1,0,1,1,1,1
Medium,Retail,1,1,7.039,2.748,0,0,1,0,1,0,0,1,1
Medium,Education,1,1,8.758,6.204,1,0,0,1,1,1,0,1,1
Low,Education,0,1,6.934,4.184,1,0,1,1,1,1,0,1,1
High,Education,1,0,8.04,19.36,0,0,0,0,0,0,0,0,1
Medium,Education,1,0,9.48,3.525,1,0,0,0,1,1,0,1,1
Low,IT,1,1,75.956,4.383,0,1,0,1,0,0,0,1,1
Medium,Education,1,0,6.125,30.306,0,0,0,1,0,1,0,1,1
Medium,Healthcare,0,1,7.402,2.478,0,0,0,0,0,0,0,1,1
High,Retail,1,0,1.082,36.885,0,0,1,0,1,0,0,0,1
High,Education,0,1,11.37,2.403,1,0,1,1,1,0,0,1,1
Medium,IT,0,0,39.601,4.952,1,1,0,1,1,0,0,1,1
Low,Healthcare,1,1,10.182,10.842,1,1,1,1,0,0,0,1,1
Medium,Healthcare,1,1,8.5,41.356,1,0,0,1,1,1,0,1,1
High,Healthcare,0,1,98.479,4.779,0,1,1,0,1,1,0,1,1
Medium,Education,1,1,6.899,38.641,1,0,0,1,1,1,0,1,1
Low,Healthcare,1,1,4.463,5.639,1,0,0,0,0,1,1,1,1
Low,Education,0,1,9.168,19.441,1,0,1,1,1,0,0,1,1
Medium,Retail,1,0,6.118,29.483,0,0,0,0,1,1,1,0,1
Low,Retail,0,1,5.223,3.504,1,0,0,1,1,1,0,1,1
High,Retail,0,1,5.363,50.69,1,1,0,0,1,1,0,1,1
Medium,IT,1,1,9.201,4.327,0,0,1,1,0,1,0,1,1
High,Healthcare,1,0,8.278,7.215,0,1,0,0,0,1,1,1,1
Medium,Education,1,1,9.564,279.132,0,0,0,1,1,0,1,1,1
Medium,IT,1,1,933.815,1.907,0,1,0,0,1,1,0,1,1
Medium,Healthcare,1,1,71.581,6.683,1,1,0,0,1,0,0,1,1
Medium,Education,1,1,7.859,18.537,1,0,0,1,0,1,0,0,1
Low,Healthcare,1,1,6.977,5.024,1,0,1,1,1,0,1,0,1
High,Education,1,1,7.579,25.319,1,1,0,1,0,1,0,1,1
Medium,Retail,0,1,6.065,896.022,1,0,0,0,1,1,0,1,1
Low,Retail,1,1,878.096,3.437,0,0,0,0,0,0,1,1,1
Medium,Healthcare,0,1,10.15,5.349,1,1,1,1,0,1,0,1,1
Low,Education,0,1,6.366,21.673,1,1,0,1,0,1,1,0,1
Medium,Healthcare,1,0,10.562,48.641,1,1,1,0,1,1,0,1,1
Low,IT,1,1,8.227,5.144,0,1,0,0,0,1,0,0,1
Medium,Education,1,1,8.482,2.092,0,0,1,1,0,1,0,1,1
Medium,Retail,1,1,4.601,3.658,0,0,0,1,1,1,0,0,1
High,Education,0,1,4.385,63.656,1,0,0,0,1,1,0,1,1
Medium,Retail,0,1,8.288,4.975,1,0,1,1,1,1,0,1,1
Medium,IT,0,0,9.579,3.607,0,0,1,0,0,1,0,1,1
Low,Education,0,1,6.657,4.622,1,1,1,0,0,1,1,0,1
Low,Education,1,1,11.34,2.972,0,0,0,0,0,1,0,1,1
Medium,Education,1,1,9.469,5.67,0,0,0,0,0,0,0,1,1
High,Retail,0,0,618.331,56.698,1,0,1,0,0,1,0,1,1
Low,Healthcare,1,0,8.061,4.181,0,0,0,0,1,0,0,1,1
Medium,Retail,1,1,12.953,4.346,0,0,0,1,0,0,0,1,1
High,IT,1,1,5.514,2.501,0,1,1,0,0,1,0,1,1
High,Retail,1,1,9.056,19.719,0,0,0,0,1,1,0,1,1
Low,Healthcare,1,1,7.354,3.435,1,1,0,0,0,1,0,1,1
Medium,Education,0,1,9.413,38.688,1,0,1,1,1,1,0,1,1
High,Education,1,1,10.534,5.593,0,0,1,1,1,1,0,1,1
Medium,IT,1,1,7.227,5.383,0,0,0,0,0,1,0,1,1
Medium,Healthcare,1,0,10.237,427.724,0,0,0,0,0,1,0,1,1
Medium,Education,0,1,12.442,5.785,0,0,0,0,0,1,0,0,1
Medium,Education,0,0,8.132,2.584,1,1,0,1,1,1,0,1,1
Medium,Healthcare,0,1,9.569,5.616,0,1,1,0,1,0,0,0,1
Medium,Education,1,1,681.911,28.143,0,1,0,0,0,1,0,1,1
Medium,IT,1,1,8.038,5.859,0,1,0,0,1,1,1,1,1
Medium,Education,1,1,7.646,3.979,0,1,0,0,0,1,0,1,1
Medium,Retail,0,1,9.593,10.025,0,0,0,1,1,0,0,1,1
Medium,IT,1,0,1.04,5.095,1,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,7.78,521.431,0,0,0,1,1,1,0,1,1
High,IT,0,0,11.067,3.315,0,0,1,0,0,0,1,1,1
High,Education,1,1,11.06,3.443,1,0,0,0,1,0,1,1,1
Low,Retail,1,1,9.693,37.606,1,1,0,0,1,1,0,1,1
Medium,IT,1,1,6.967,1.112,0,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,6.776,45.29,0,0,1,1,1,1,1,1,1
Medium,Education,0,1,6.375,59.524,1,1,0,0,0,0,0,0,1
High,Retail,1,1,9.898,2.763,1,0,0,0,0,1,1,0,1
High,Healthcare,1,1,5.576,6.782,0,0,0,0,1,1,0,1,1
Medium,Retail,1,1,9.353,6.055,0,0,1,0,1,1,0,1,1
High,IT,1,1,5.837,63.507,0,0,0,0,1,1,0,0,1
Low,IT,1,0,9.647,30.245,1,0,0,0,0,1,0,1,1
High,Education,0,1,8.034,15.873,1,1,0,1,1,1,0,0,1
High,IT,0,1,10.667,23.696,0,1,0,1,0,1,0,1,1
Medium,Healthcare,1,0,10.282,33.303,0,0,0,1,1,1,0,1,1
High,Healthcare,0,1,10.87,44.015,1,0,1,1,0,1,1,0,1
Medium,Healthcare,1,1,10.921,32.868,0,0,1,0,0,1,0,1,1
Medium,Education,1,0,8.287,3.697,0,1,1,0,0,0,0,1,1
High,Retail,1,1,5.682,2.058,1,0,1,1,0,1,0,1,1
Low,Healthcare,1,1,5.894,2.439,0,0,0,0,1,0,1,0,1
High,Education,1,1,3.826,36.691,1,1,0,1,0,0,1,1,1
Low,Retail,1,1,5.832,4.534,1,1,1,1,0,0,0,0,1
Medium,IT,1,1,8.137,26.637,1,1,0,1,0,0,0,0,1
Medium,Education,1,0,6.88,4.438,1,0,1,0,0,1,0,1,1
Medium,Education,1,1,7.639,4.205,0,0,1,1,1,0,1,1,1
Medium,Retail,1,1,8.985,4.07,1,0,0,0,1,1,0,0,1
Low,Education,1,1,7.391,30.219,1,0,1,0,0,1,0,1,1
